color_hex,degree_centrality,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
#805040,1.0,6707,0.0,1.0,0.396041,0.071159
#2a1a15,1.0,5620,0.001133,1.0,0.346612,0.058924
#d4cbb1,0.985294,5259,0.0,0.985507,0.303324,0.057737
#2a2523,0.985294,5031,0.002719,0.985507,0.342104,0.051967
#d4bab1,1.0,4818,0.0,1.0,0.305168,0.052537
#807040,0.985294,4047,0.006721,0.985507,0.239095,0.044248
#d4856a,1.0,4009,0.004147,1.0,0.261166,0.043253
#80706b,0.970588,3953,0.000224,0.971429,0.284362,0.041798
#d4ba6a,0.955882,3679,0.0,0.957746,0.224436,0.040297
#803116,0.926471,2961,0.006301,0.931507,0.181685,0.032262
#807b6b,0.970588,2550,0.006339,0.971429,0.163134,0.02856
#2a2515,0.852941,2401,0.012267,0.871795,0.14004,0.02709
#2a1007,0.911765,2343,0.005703,0.918919,0.144574,0.026208
#2a2823,0.779412,2111,0.003578,0.819277,0.136022,0.023754
#2a2325,0.823529,1525,0.018051,0.85,0.103316,0.0175
#2a151a,0.794118,1469,0.006615,0.829268,0.093612,0.017768
#23252a,0.970588,1072,0.014939,0.971429,0.047307,0.014837
#806616,0.75,1053,0.011286,0.8,0.055943,0.013087
#d45124,0.794118,1005,0.01954,0.829268,0.061982,0.012359
#2a2107,0.676471,925,0.01883,0.755556,0.046605,0.011871
#25232a,0.794118,908,0.009041,0.829268,0.034325,0.013226
#2a2328,0.882353,895,0.022245,0.894737,0.046715,0.011965
#b1bad4,0.823529,776,0.033097,0.85,0.02699,0.012024
#282a23,0.75,753,0.012507,0.8,0.037466,0.010697
#6b7080,0.661765,729,0.008532,0.747253,0.024883,0.011153
#d4b1cb,0.514706,671,0.005223,0.673267,0.022245,0.010564
#28232a,0.632353,643,0.003792,0.731183,0.022461,0.009945
#7b806b,0.808824,625,0.011979,0.839506,0.028986,0.009581
#cbd4b1,0.691176,569,0.004871,0.764045,0.030422,0.008525
#d4a824,0.691176,518,0.022437,0.764045,0.026078,0.007537
#806b70,0.676471,510,0.013622,0.755556,0.024434,0.008075
#252a15,0.632353,505,0.005625,0.731183,0.020904,0.008219
#706b80,0.514706,479,0.01118,0.673267,0.011813,0.008358
#7b6b80,0.411765,441,0.035627,0.62963,0.010448,0.007796
#806b7b,0.455882,439,0.041125,0.647619,0.013318,0.007593
#804050,0.705882,395,0.0311,0.772727,0.022277,0.00658
#232a25,0.632353,359,0.00583,0.731183,0.014214,0.006847
#151a2a,0.75,357,0.028675,0.8,0.01888,0.006587
#252a23,0.676471,333,0.025722,0.755556,0.013672,0.006374
#6b7b80,0.764706,327,0.016515,0.809524,0.015657,0.006166
#cbb1d4,0.470588,305,0.009895,0.653846,0.007936,0.006087
#232a28,0.588235,300,0.001738,0.708333,0.01254,0.006024
#b1cbd4,0.794118,294,0.012343,0.829268,0.012378,0.005954
#6b807b,0.676471,290,0.005641,0.755556,0.012316,0.005891
#15252a,0.705882,287,0.017104,0.772727,0.01314,0.005891
#23282a,0.661765,286,0.03454,0.747253,0.01354,0.0056
#2a1525,0.647059,283,0.011513,0.73913,0.012697,0.005746
#bab1d4,0.455882,255,0.003456,0.647619,0.007051,0.00543
#d4b1ba,0.5,254,0.029577,0.666667,0.010982,0.005193
#708040,0.764706,251,0.035902,0.809524,0.011512,0.005142
#70806b,0.661765,246,0.017437,0.747253,0.009254,0.005316
#2a0710,0.5,245,0.003277,0.666667,0.013333,0.00495
#407080,0.764706,211,0.012554,0.809524,0.009149,0.005112
#1a152a,0.676471,209,0.023569,0.755556,0.009727,0.004783
#801631,0.617647,205,0.005087,0.723404,0.009841,0.004522
#b1d4cb,0.691176,189,0.016964,0.764045,0.006772,0.004668
#b1d4ba,0.735294,185,0.022241,0.790698,0.006731,0.004766
#25152a,0.514706,170,0.017898,0.673267,0.007242,0.004337
#212a07,0.5,166,0.022262,0.666667,0.006581,0.004089
#152a25,0.632353,160,0.020355,0.731183,0.006499,0.004321
#6b8070,0.647059,156,0.031119,0.73913,0.005613,0.004254
#1a2a15,0.441176,151,0.003478,0.641509,0.006081,0.004088
#bad4b1,0.485294,123,0.016354,0.660194,0.004881,0.003767
#2a0721,0.5,106,0.018846,0.666667,0.004145,0.003572
#07212a,0.426471,83,0.03326,0.635514,0.004041,0.003256
#405080,0.426471,76,0.022091,0.635514,0.004087,0.003114
#152a1a,0.485294,72,0.059586,0.660194,0.002701,0.003186
#07102a,0.382353,68,0.012278,0.618182,0.003204,0.003067
#6abad4,0.426471,50,0.064252,0.635514,0.002126,0.002847
