bin_id,h_bin,s_bin,v_bin,hex
0,0,0,0,#2a2523
1,0,0,1,#80706b
2,0,0,2,#d4bab1
3,0,1,0,#2a1a15
4,0,1,1,#805040
5,0,1,2,#d4856a
6,0,2,0,#2a1007
7,0,2,1,#803116
8,0,2,2,#d45124
9,1,0,0,#2a2823
10,1,0,1,#807b6b
11,1,0,2,#d4cbb1
12,1,1,0,#2a2515
13,1,1,1,#807040
14,1,1,2,#d4ba6a
15,1,2,0,#2a2107
16,1,2,1,#806616
17,1,2,2,#d4a824
18,2,0,0,#282a23
19,2,0,1,#7b806b
20,2,0,2,#cbd4b1
21,2,1,0,#252a15
22,2,1,1,#708040
23,2,1,2,#bad46a
24,2,2,0,#212a07
25,2,2,1,#668016
26,2,2,2,#a8d424
27,3,0,0,#252a23
28,3,0,1,#70806b
29,3,0,2,#bad4b1
30,3,1,0,#1a2a15
31,3,1,1,#508040
32,3,1,2,#85d46a
33,3,2,0,#102a07
34,3,2,1,#318016
35,3,2,2,#51d424
36,4,0,0,#232a25
37,4,0,1,#6b8070
38,4,0,2,#b1d4ba
39,4,1,0,#152a1a
40,4,1,1,#408050
41,4,1,2,#6ad485
42,4,2,0,#072a10
43,4,2,1,#168031
44,4,2,2,#24d451
45,5,0,0,#232a28
46,5,0,1,#6b807b
47,5,0,2,#b1d4cb
48,5,1,0,#152a25
49,5,1,1,#408070
50,5,1,2,#6ad4ba
51,5,2,0,#072a21
52,5,2,1,#168066
53,5,2,2,#24d4a8
54,6,0,0,#23282a
55,6,0,1,#6b7b80
56,6,0,2,#b1cbd4
57,6,1,0,#15252a
58,6,1,1,#407080
59,6,1,2,#6abad4
60,6,2,0,#07212a
61,6,2,1,#166680
62,6,2,2,#24a8d4
63,7,0,0,#23252a
64,7,0,1,#6b7080
65,7,0,2,#b1bad4
66,7,1,0,#151a2a
67,7,1,1,#405080
68,7,1,2,#6a85d4
69,7,2,0,#07102a
70,7,2,1,#163180
71,7,2,2,#2451d4
72,8,0,0,#25232a
73,8,0,1,#706b80
74,8,0,2,#bab1d4
75,8,1,0,#1a152a
76,8,1,1,#504080
77,8,1,2,#856ad4
78,8,2,0,#10072a
79,8,2,1,#311680
80,8,2,2,#5124d4
81,9,0,0,#28232a
82,9,0,1,#7b6b80
83,9,0,2,#cbb1d4
84,9,1,0,#25152a
85,9,1,1,#704080
86,9,1,2,#ba6ad4
87,9,2,0,#21072a
88,9,2,1,#661680
89,9,2,2,#a824d4
90,10,0,0,#2a2328
91,10,0,1,#806b7b
92,10,0,2,#d4b1cb
93,10,1,0,#2a1525
94,10,1,1,#804070
95,10,1,2,#d46aba
96,10,2,0,#2a0721
97,10,2,1,#801666
98,10,2,2,#d424a8
99,11,0,0,#2a2325
100,11,0,1,#806b70
101,11,0,2,#d4b1ba
102,11,1,0,#2a151a
103,11,1,1,#804050
104,11,1,2,#d46a85
105,11,2,0,#2a0710
106,11,2,1,#801631
107,11,2,2,#d42451
