id,label
female-portraits,female-portraits
male-portraits,male-portraits
group-portraits,group-portraits
children portraits,children portraits
famous-people,famous-people
games-and-sport,games-and-sport
Harlequin,Harlequin
Pablo-Picasso,Pablo-Picasso
fruits-and-vegetables,fruits-and-vegetables
female-nude,female-nude
dishware-and-cutlery,dishware-and-cutlery
animals,animals
birds,birds
flowers-and-plants,flowers-and-plants
cats,cats
houses-and-buildings,houses-and-buildings
boats-and-ships,boats-and-ships
male-nude,male-nude
Greek-and-Roman-Mythology,Greek-and-Roman-Mythology
allegories-and-symbols,allegories-and-symbols
books-and-letters,books-and-letters
conversations,conversations
cigarettes-and-pipes,cigarettes-and-pipes
couples,couples
military-and-soldiers,military-and-soldiers
horsemen,horsemen
musical-instruments,musical-instruments
roads-and-vehicles,roads-and-vehicles
arts-and-crafts,arts-and-crafts
studios-and-workshops,studios-and-workshops
newspapers,newspapers
food-and-beverages,food-and-beverages
furniture-and-decoration,furniture-and-decoration
reading-and-writing,reading-and-writing
women-and-mirrors,women-and-mirrors
doors-and-windows,doors-and-windows
skeletons-and-skulls,skeletons-and-skulls
instruments-and-mechanisms,instruments-and-mechanisms
forests-and-trees,forests-and-trees
characters-and-emotions,characters-and-emotions
actors-and-performances,actors-and-performances
mealtimes,mealtimes
leisure-and-sleep,leisure-and-sleep
families,families
horses,horses
designs-and-sketches,designs-and-sketches
Marie-Thérèse Walter,Marie-Thérèse Walter
walking,walking
hunting-and-racing,hunting-and-racing
bulls,bulls
Minotaur,Minotaur
lamps-and-candles,lamps-and-candles
streets-and-squares,streets-and-squares
mother-and-child,mother-and-child
children,children
family-portraits,family-portraits
words,words
taverns-and-inns,taverns-and-inns
double-portraits,double-portraits
