motif,degree_centrality,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
seas-and-oceans,0.597222,1486,0.048231,0.712871,0.564789,0.062355
boats-and-ships,0.694444,1478,0.053479,0.765957,0.560265,0.062242
fictional-characters,0.472222,1285,0.013756,0.654545,0.061969,0.058615
animals,0.791667,1053,0.036824,0.827586,0.116177,0.051543
mountains,0.652778,1025,0.044688,0.742268,0.321822,0.045916
forests-and-trees,0.666667,945,0.023197,0.75,0.212991,0.045177
horses,0.5,632,0.035176,0.666667,0.054314,0.030509
rivers-and-waterfalls,0.597222,614,0.030866,0.712871,0.157937,0.029362
"Dante-Alighieri-""The-Divine-Comedy""",0.25,484,0.015574,0.571429,0.024327,0.02201
Don-Quixote,0.166667,459,0.001946,0.533333,0.034849,0.02082
group-portraits,0.430556,455,0.008736,0.637168,0.105977,0.02331
twilight-and-night,0.416667,445,0.006252,0.631579,0.190462,0.019874
famous-people,0.513889,441,0.044061,0.672897,0.030367,0.025236
houses-and-buildings,0.5,422,0.024158,0.666667,0.121268,0.021411
Dante,0.180556,403,0.001926,0.549618,0.019861,0.018366
Virgil,0.152778,382,0.0,0.541353,0.01892,0.017456
knights-and-warriors,0.402778,370,0.017199,0.626087,0.022378,0.01987
sunrise-and-sunset,0.375,336,0.009085,0.610169,0.14458,0.015728
male-portraits,0.305556,327,0.0052,0.590164,0.018673,0.019538
Rocinante,0.097222,312,0.0,0.503497,0.024151,0.014654
battles-and-wars,0.375,302,0.012673,0.615385,0.040615,0.017601
Sancho-Panza,0.097222,297,0.0,0.5,0.021937,0.013985
storm-and-tempest,0.319444,277,0.016526,0.595041,0.158236,0.012874
sun-and-moon,0.236111,252,0.001293,0.541353,0.111548,0.011835
Crimea,0.277778,241,0.008395,0.571429,0.103658,0.011711
Christianity,0.319444,238,0.011444,0.595041,0.005916,0.018664
islands-and-bays,0.25,236,0.012087,0.5625,0.111156,0.011231
J-F.-Michaud-'Bibliotheque-des-Croisades',0.166667,234,0.000807,0.545455,0.015132,0.012663
cliffs-and-rocks,0.333333,198,0.004257,0.595041,0.069855,0.010526
moles-and-embankments,0.236111,195,0.004442,0.5625,0.090504,0.009968
female-portraits,0.444444,190,0.066272,0.642857,0.015898,0.016227
angels-and-archangels,0.236111,167,0.005095,0.5625,0.006266,0.010783
sins-and-sinners,0.125,151,0.00358,0.525547,0.007214,0.008066
roads-and-vehicles,0.305556,141,0.006959,0.585366,0.027208,0.008357
countryside,0.277778,133,0.004303,0.576,0.018173,0.008897
lakes-and-ponds,0.25,126,0.010592,0.571429,0.03957,0.007482
streets-and-squares,0.333333,124,0.022059,0.6,0.016591,0.00907
palaces-and-mausoleums,0.305556,120,0.005688,0.590164,0.027146,0.007656
Crimean-Mountains,0.138889,103,0.0,0.514286,0.041166,0.006091
saints-and-apostles,0.236111,102,0.029335,0.566929,0.002987,0.008771
Jesus-Christ,0.069444,88,3.9e-05,0.458599,0.000608,0.008079
valleys-and-hollows,0.222222,87,0.028145,0.553846,0.022209,0.005812
fields-and-plains,0.291667,78,0.011664,0.580645,0.011128,0.005827
hunting-and-racing,0.208333,74,0.00273,0.55814,0.011938,0.005659
Venice,0.166667,74,0.002812,0.525547,0.023644,0.005354
gates-and-towers,0.319444,72,0.035097,0.595041,0.025659,0.005191
military-and-soldiers,0.305556,71,0.040577,0.590164,0.005619,0.006397
castles-and-fortresses,0.319444,69,0.039912,0.595041,0.015344,0.00541
"John-Milton-""Paradise-Lost""",0.097222,67,3.9e-05,0.521739,0.004864,0.005069
mills-and-windmills,0.291667,65,0.040327,0.585366,0.010716,0.005071
deer,0.125,64,0.003681,0.525547,0.015953,0.004707
dogs,0.194444,57,0.012803,0.553846,0.009882,0.004825
lions,0.125,52,0.003114,0.510638,0.005109,0.004553
historical-events,0.208333,46,0.00455,0.55814,0.012912,0.004262
markets-and-shops,0.138889,46,0.005496,0.525547,0.004086,0.004536
birth-and-death,0.236111,44,0.0703,0.5625,0.001359,0.004615
designs-and-sketches,0.097222,44,0.001848,0.496552,0.00164,0.004816
children portraits,0.263889,40,0.027503,0.576,0.003941,0.004654
cottages-and-farmhouses,0.222222,37,0.021209,0.553846,0.007977,0.003902
furniture-and-decoration,0.152778,37,0.020465,0.525547,0.001725,0.005018
folk-architecture,0.222222,33,0.054239,0.55814,0.005124,0.003959
horsemen,0.180556,32,0.004731,0.549618,0.002775,0.003862
birds,0.277778,30,0.055596,0.580645,0.004386,0.003892
flowers-and-plants,0.152778,30,0.007854,0.537313,0.001678,0.00439
gardens-and-parks,0.236111,29,0.050425,0.5625,0.001323,0.004359
leisure-and-sleep,0.277778,27,0.051003,0.580645,0.003975,0.003727
celebrations-and-festivals,0.236111,27,0.022708,0.566929,0.006415,0.003471
Greek-and-Roman-Mythology,0.166667,27,0.010788,0.545455,0.002428,0.003621
couples,0.166667,25,0.022998,0.510638,0.00086,0.004044
arts-and-crafts,0.152778,25,0.00829,0.541353,0.00168,0.003821
allegories-and-symbols,0.125,24,0.013913,0.525547,0.001825,0.003312
female-nude,0.180556,23,0.034496,0.545455,0.000405,0.004187
ruins-and-columns,0.125,21,0.005871,0.517986,0.004107,0.003147
